,station,location,Temp,do,ph,co,bod,na,FECAL COLIFORM (MPN/100ml),tc,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
939,2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",22.3,7.5,8.0,211.0,1.9,0.39,3005,6858.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
940,2424,"BUDHABALANGA, D/S OF BARIPADA TOWN",22.3,7.2,8.0,263.0,3.7,0.63,6625,14725.0,100,100,0,80,40,100,16.5,28.1,18.720000000000002,0.36,2.8000000000000003,0.0,66.48
941,2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",25.0,7.0,7.6,111.0,1.6,0.67,1081,2743.0,100,100,40,100,80,100,16.5,28.1,23.400000000000002,0.72,2.8000000000000003,11.240000000000002,82.75999999999999
942,2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",25.9,7.5,7.9,205.0,1.5,1.0,1615,3542.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
943,1642,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",25.9,7.1,7.7,283.0,2.3,1.73,2882,6692.0,100,100,40,100,40,100,16.5,28.1,23.400000000000002,0.36,2.8000000000000003,11.240000000000002,82.4
944,1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",24.8,7.4,8.0,263.0,1.7,0.65,3113,6617.0,100,100,40,100,40,100,16.5,28.1,23.400000000000002,0.36,2.8000000000000003,11.240000000000002,82.4
945,1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",27.5,8.1,8.0,300.0,2.3,0.45,2272,4569.0,100,100,40,100,40,100,16.5,28.1,23.400000000000002,0.36,2.8000000000000003,11.240000000000002,82.4
946,1456,"RUSHIKULYA AT GANJAM D/S, ORISSA",28.0,7.8,8.0,13103.0,2.1,0.59,277,739.0,100,100,40,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,82.03999999999999
947,2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),25.0,7.4,8.0,207.0,1.5,0.53,1356,2872.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
948,2427,VANSADHARA AT GUNUPUR (INTERSTATE BOUNDRY),25.8,7.2,8.0,198.0,1.4,0.57,677,1850.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
949,1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",26.8,6.5,8.1,729.0,1.0,0.65,NAN,533687.1656804733,100,100,0,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,0.0,70.8
950,2444,CORINGA RIVER,31.0,3.0,8.1,1086.0,6.940048767967146,0.1,NAN,533687.1656804733,100,40,0,60,0,100,16.5,11.240000000000002,14.040000000000001,0.0,2.8000000000000003,0.0,44.58
951,2442,GAUTAMINANGODAVARI RIVER,32.0,6.9,8.2,10910.0,6.940048767967146,0.02,NAN,533687.1656804733,100,100,0,60,0,100,16.5,28.1,14.040000000000001,0.0,2.8000000000000003,0.0,61.44
952,2443,GAUTAMINANGODAVARI RIVER,31.0,6.0,8.0,17990.0,6.940048767967146,0.07,NAN,533687.1656804733,100,100,0,60,0,100,16.5,28.1,14.040000000000001,0.0,2.8000000000000003,0.0,61.44
953,2445,MAHE RIVER,28.0,4.8,7.7,48500.0,6.940048767967146,0.34,NAN,533687.1656804733,100,60,0,60,0,100,16.5,16.860000000000003,14.040000000000001,0.0,2.8000000000000003,0.0,50.199999999999996
954,1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",28.4,6.3,7.6,830.0,1.8,0.24,738,2020.0,100,100,40,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,82.03999999999999
955,1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",24.0,7.4,7.6,104.0,1.2,0.09,NAN,533687.1656804733,100,100,0,100,80,100,16.5,28.1,23.400000000000002,0.72,2.8000000000000003,0.0,71.52
